Flight Number,Airline,Departure City,Destination City,Departure Time,Arrival Time,Available Seats,Price,Class
KZT5Q,Ramos PLC,North Crystal,Smithhaven,06:52:33AM,08:52:33AM,61,474.51,Economy Class
JRDMK,"Willis, Cantu and Fitzgerald",South Crystal,East Joy,04:49:57AM,06:49:57AM,152,329.89,Economy Class
ZJJIQ,Garcia PLC,Emilychester,Roymouth,11:07:26AM,12:07:26PM,192,185.82,Economy Class
ZN7CZ,Wagner LLC,Smithtown,Blaketon,10:46:00PM,01:46:00AM,61,110.41,Business Class
MD71J,Jenkins-Jackson,Robertton,Port Tanyafurt,09:28:49PM,01:28:49AM,125,484.38,Business Class
PQHR9,Banks PLC,Bonillaside,Scottside,01:28:57AM,02:28:57AM,87,303.48,Economy Class
09S2X,Fuentes-Rush,Darryltown,East Jon,09:57:24AM,10:57:24AM,174,338.8,Economy Class
DENUG,Rich-Roberts,North Karen,West Robertland,05:43:33PM,07:43:33PM,294,488.27,Business Class
JLOAB,"Howe, Burch and Scott",Hamiltonview,West Linda,05:36:26AM,08:36:26AM,63,288.78,First Class
6V15Y,Thornton-Rojas,Port Shellystad,Kimberlyshire,09:26:24PM,02:26:24AM,189,390.14,First Class
4XXVN,Collins Inc,Port Andrew,Thomasview,12:45:24AM,04:45:24AM,101,132.98,Economy Class
16TE3,Gonzales and Sons,Lake Heather,Brandonborough,09:56:02PM,01:56:02AM,84,360.15,Economy Class
RXSMX,Key LLC,Valencialand,Jacksonfurt,12:26:37PM,02:26:37PM,118,251.07,Economy Class
3UUN5,Gomez PLC,West Barrytown,Lake Whitneyton,11:51:04AM,03:51:04PM,206,185.99,Economy Class
2HPUB,Baldwin Ltd,Hillfort,Kellistad,10:37:07AM,02:37:07PM,181,189.54,Economy Class
IH0Q0,"Perry, Mcbride and Mitchell",Banksbury,Lake Ricky,02:20:47PM,05:20:47PM,215,401.36,Economy Class
932EW,"Hart, Hebert and Reed",Youngshire,Port Jamesmouth,11:53:11AM,01:53:11PM,196,328.67,Economy Class
NJJSD,"Dominguez, Hartman and Hood",Raymondhaven,West Tammy,06:21:06PM,08:21:06PM,282,101.44,First Class
0WNPE,"Frank, Miller and Chung",Chaseland,New Douglasburgh,05:06:29PM,10:06:29PM,225,431.84,First Class
R2JLO,Ramirez-Lee,East Travistown,Jennifershire,05:36:23AM,08:36:23AM,237,386.89,Economy Class
6RZK4,"Vazquez, Lopez and Landry",Wardmouth,Port Johnnybury,07:00:26AM,01:00:26PM,220,460.31,Business Class
XQ85O,"Davis, Cantrell and Johnson",Port Codyport,Williamsfort,05:33:16PM,08:33:16PM,117,438.04,Economy Class
QA7I3,"Williams, Alexander and Johnson",Katrinaville,Daviesview,07:05:45PM,01:05:45AM,111,146.17,Business Class
XNQM3,Murphy LLC,North Danielport,Angelaberg,04:25:59PM,09:25:59PM,218,287.09,Economy Class
